,acc,n_epoch,shuffle,batch_size,dynamic_lr,cost_log,train_log,val_log,hidden_s,time
0,0.97,10,True,1,True,"[303.2564567958265, 234.6717259854826, 200.79700849626994, 188.80135463631933, 182.03798416584388, 179.41137235178067, 174.2083954223532, 173.65252994366227, 172.055665254447, 170.7617795469758]","[0.8678038379530917, 0.9040511727078892, 0.9360341151385928, 0.9488272921108742, 0.9232409381663113, 0.9573560767590619, 0.929637526652452, 0.9594882729211087, 0.9402985074626866, 0.9616204690831557]","[0.89, 0.93, 0.95, 0.96, 0.86, 0.97, 0.95, 0.96, 0.96, 0.97]",4.0,1.493553
1,0.93,10,True,1,True,"[321.0348223264019, 312.8710833154205, 294.1233416340659, 246.0592455118568, 211.01208541337076, 196.26226601635136, 188.50231361747373, 185.33238916015148, 179.56975354245483, 178.8931230526524]","[0.6268656716417911, 0.6268656716417911, 0.9339019189765458, 0.9040511727078892, 0.906183368869936, 0.9573560767590619, 0.9573560767590619, 0.9445628997867804, 0.9402985074626866, 0.9445628997867804]","[0.63, 0.63, 0.95, 0.96, 0.95, 0.97, 0.97, 0.97, 0.93, 0.93]",5.0,1.519288
2,0.97,10,True,1,True,"[269.05682246945435, 211.31409961263935, 193.4700222868018, 184.87615747826254, 181.1489576282847, 178.3758323410317, 175.8431905078989, 175.59529706029116, 172.68628475151235, 171.6851749805144]","[0.9125799573560768, 0.9168443496801706, 0.9339019189765458, 0.9509594882729211, 0.9616204690831557, 0.9573560767590619, 0.9424307036247335, 0.9616204690831557, 0.9424307036247335, 0.9594882729211087]","[0.93, 0.94, 0.93, 0.96, 0.95, 0.96, 0.9, 0.97, 0.96, 0.97]",8.0,1.526166
3,0.98,10,True,1,False,"[306.540297884478, 272.5000538063615, 235.23259450493663, 212.33116852682844, 198.83623792314586, 194.461052748022, 190.06252757662432, 185.97028138356137, 185.4583053289936, 180.21124591717594]","[0.6268656716417911, 0.8827292110874201, 0.9211087420042644, 0.9275053304904051, 0.9125799573560768, 0.9402985074626866, 0.9424307036247335, 0.9573560767590619, 0.9616204690831557, 0.9552238805970149]","[0.63, 0.91, 0.91, 0.95, 0.95, 0.9, 0.89, 0.96, 0.96, 0.98]",4.0,1.497664
4,0.73,10,True,1,False,"[305.36492657074945, 262.5669740285166, 214.0147979110264, 195.36171654940733, 185.65415053447163, 181.32464269621556, 179.35603341609468, 175.81805113070126, 173.02475357426883, 174.21879031889236]","[0.8081023454157783, 0.8912579957356077, 0.9253731343283582, 0.9189765458422174, 0.8891257995735607, 0.9360341151385928, 0.9445628997867804, 0.9573560767590619, 0.9168443496801706, 0.8081023454157783]","[0.83, 0.92, 0.9, 0.94, 0.93, 0.95, 0.97, 0.95, 0.95, 0.73]",5.0,1.52912
5,0.96,10,True,1,False,"[317.63881702127935, 285.57622824225916, 224.41730424965127, 195.9927171777311, 188.21426077606677, 183.86658286240177, 181.88113606146084, 178.1137994768071, 176.81103241804612, 175.74360809135405]","[0.6268656716417911, 0.9168443496801706, 0.9232409381663113, 0.9402985074626866, 0.9552238805970149, 0.9381663113006397, 0.9616204690831557, 0.9552238805970149, 0.9594882729211087, 0.9658848614072495]","[0.63, 0.95, 0.95, 0.95, 0.96, 0.89, 0.96, 0.97, 0.97, 0.96]",8.0,1.541927
6,0.97,10,False,1,True,"[281.58062565388536, 219.18769251460807, 195.62373201486588, 185.75883665400238, 180.53965032604341, 177.3690439576523, 175.1404247454123, 173.39815059756876, 172.00036222658468, 170.88665491172284]","[0.908315565031983, 0.9253731343283582, 0.9466950959488273, 0.9509594882729211, 0.9552238805970149, 0.9594882729211087, 0.9616204690831557, 0.9616204690831557, 0.9637526652452025, 0.9637526652452025]","[0.9, 0.93, 0.95, 0.95, 0.96, 0.97, 0.97, 0.97, 0.97, 0.97]",4.0,1.461123
7,0.97,10,False,1,True,"[304.22583280222915, 262.1507023079309, 227.5467744926088, 208.31918620076326, 196.7074931182081, 189.00749525435307, 184.10091550046647, 180.48113370216348, 177.9201560545639, 175.87018695129416]","[0.6268656716417911, 0.9040511727078892, 0.9232409381663113, 0.9317697228144989, 0.9445628997867804, 0.9509594882729211, 0.9552238805970149, 0.9530916844349681, 0.9552238805970149, 0.9573560767590619]","[0.63, 0.94, 0.96, 0.96, 0.96, 0.96, 0.97, 0.96, 0.97, 0.97]",5.0,1.466876
8,0.97,10,False,1,True,"[300.39334113855597, 240.23816267019973, 201.22416983145126, 188.59559712239204, 182.93175548854472, 179.5154755197017, 177.07870019494092, 175.1835977540207, 173.64061900459444, 172.36072401598565]","[0.9189765458422174, 0.9253731343283582, 0.9339019189765458, 0.9402985074626866, 0.9488272921108742, 0.9530916844349681, 0.9573560767590619, 0.9552238805970149, 0.9552238805970149, 0.9573560767590619]","[0.93, 0.94, 0.96, 0.96, 0.95, 0.96, 0.96, 0.97, 0.97, 0.97]",8.0,1.488949
9,0.97,10,False,1,False,"[300.29137922095333, 239.29058583809027, 207.03793520232188, 192.93983017090122, 185.3501845620883, 180.88640961260978, 177.84037896744417, 175.5953202001433, 173.86379581206052, 172.45902996216861]","[0.9104477611940298, 0.9275053304904051, 0.9402985074626866, 0.9466950959488273, 0.9530916844349681, 0.9573560767590619, 0.9573560767590619, 0.9573560767590619, 0.9637526652452025, 0.9637526652452025]","[0.89, 0.96, 0.95, 0.96, 0.97, 0.96, 0.96, 0.96, 0.97, 0.97]",4.0,1.454057
